"Source Name"	"Characteristics [Organism]"	"Term Source 1 REF"	"Term Source 1 Accession"	"Characteristics [Cell Line]"	"Term Source 2 REF"	"Term Source 2 Accession"	"Protocol REF"	"Protocol REF"	"Protocol REF"	"Assay Name"	"Experimental Condition [ # fill in]"	"Comment [Gene Identifier]"	"Comment [Gene Symbol]"	"Comment [Gene Annotation Comments]"	"Dataset Name"	"Image File"	"Comment [Image File Path]"	"Comment [Image File Comments]"	"Comment [Image File Type]"	"Channels"	"Protocol REF"	"Processed Data File"
"B1_C1.tif"	"Mus Musculus"	"00000251"	"# leave blank"	"Wild-type, outbred MF1 mice"	"EFO"	"# leave blank"	"growth protocol"	"treatment protocol"	"image acquisition and feature extraction protocol"	"blastocysts"	"# add an experimental condition if there is one e.g. 'targeted protein', or 'antibody'"""	"# enter an identifier for any associated genes e.g. ensembl identifier for targeted protein"	"# enter gene symbol for any associated genes e.g. BRCA1"	"# any comments about the gene annotation e.g. what gene annotation build the gene identifiers come from"	"DISCEPTS"	"B1_C1.tif"	"/Blastocysts/B1_C1.tif"	"# any comments about image files (can say its missing if you no longer have it)"	"Derived (cropped image)"	"LaminB1 / Dapi"	"# data analysis protocol"	"# name of the file with the results in"
"B1_C2.tif"	"Mus Musculus"	"00000251"	"# leave blank"	"Wild-type, outbred MF1 mice"	"EFO"	"# leave blank"	"growth protocol"	"treatment protocol"	"image acquisition and feature extraction protocol"	"blastocysts"	"# add an experimental condition if there is one e.g. 'targeted protein', or 'antibody'"""	"# enter an identifier for any associated genes e.g. ensembl identifier for targeted protein"	"# enter gene symbol for any associated genes e.g. BRCA2"	"# any comments about the gene annotation e.g. what gene annotation build the gene identifiers come from"	"DISCEPTS"	"B1_C2.tif"	"/Blastocysts/B1_C2.tif"	"# any comments about image files (can say its missing if you no longer have it)"	"Derived (cropped image)"	"LaminB1 / Dapi"	"# data analysis protocol"	"# name of the file with the results in"
"B2_C1.tif"	"Mus Musculus"	"00000251"	"# leave blank"	"Wild-type, outbred MF1 mice"	"EFO"	"# leave blank"	"growth protocol"	"treatment protocol"	"image acquisition and feature extraction protocol"	"blastocysts"	"# add an experimental condition if there is one e.g. 'targeted protein', or 'antibody'"""	"# enter an identifier for any associated genes e.g. ensembl identifier for targeted protein"	"# enter gene symbol for any associated genes e.g. BRCA3"	"# any comments about the gene annotation e.g. what gene annotation build the gene identifiers come from"	"DISCEPTS"	"B2_C1.tif"	"/Blastocysts/B2_C1.tif"	"# any comments about image files (can say its missing if you no longer have it)"	"Derived (cropped image)"	"LaminB1 / Dapi"	"# data analysis protocol"	"# name of the file with the results in"
"B2_C2.tif"	"Mus Musculus"	"00000251"	"# leave blank"	"Wild-type, outbred MF1 mice"	"EFO"	"# leave blank"	"growth protocol"	"treatment protocol"	"image acquisition and feature extraction protocol"	"blastocysts"	"# add an experimental condition if there is one e.g. 'targeted protein', or 'antibody'"""	"# enter an identifier for any associated genes e.g. ensembl identifier for targeted protein"	"# enter gene symbol for any associated genes e.g. BRCA4"	"# any comments about the gene annotation e.g. what gene annotation build the gene identifiers come from"	"DISCEPTS"	"B2_C2.tif"	"/Blastocysts/B2_C2.tif"	"# any comments about image files (can say its missing if you no longer have it)"	"Derived (cropped image)"	"LaminB1 / Dapi"	"# data analysis protocol"	"# name of the file with the results in"
"B3.tif"	"Mus Musculus"	"00000251"	"# leave blank"	"Wild-type, outbred MF1 mice"	"EFO"	"# leave blank"	"growth protocol"	"treatment protocol"	"image acquisition and feature extraction protocol"	"blastocysts"	"# add an experimental condition if there is one e.g. 'targeted protein', or 'antibody'"""	"# enter an identifier for any associated genes e.g. ensembl identifier for targeted protein"	"# enter gene symbol for any associated genes e.g. BRCA5"	"# any comments about the gene annotation e.g. what gene annotation build the gene identifiers come from"	"DISCEPTS"	"B3.tif"	"/Blastocysts/B3.tif"	"# any comments about image files (can say its missing if you no longer have it)"	"Raw Image"	"LaminB1 / Dapi"	"# data analysis protocol"	"# name of the file with the results in"
"B4_C1.tif"	"Mus Musculus"	"00000251"	"# leave blank"	"Wild-type, outbred MF1 mice"	"EFO"	"# leave blank"	"growth protocol"	"treatment protocol"	"image acquisition and feature extraction protocol"	"blastocysts"	"# add an experimental condition if there is one e.g. 'targeted protein', or 'antibody'"""	"# enter an identifier for any associated genes e.g. ensembl identifier for targeted protein"	"# enter gene symbol for any associated genes e.g. BRCA6"	"# any comments about the gene annotation e.g. what gene annotation build the gene identifiers come from"	"DISCEPTS"	"B4_C1.tif"	"/Blastocysts/B4_C1.tif"	"# any comments about image files (can say its missing if you no longer have it)"	"Derived (cropped image)"	"LaminB1 / Dapi"	"# data analysis protocol"	"# name of the file with the results in"
"B4_C2.tif"	"Mus Musculus"	"00000251"	"# leave blank"	"Wild-type, outbred MF1 mice"	"EFO"	"# leave blank"	"growth protocol"	"treatment protocol"	"image acquisition and feature extraction protocol"	"blastocysts"	"# add an experimental condition if there is one e.g. 'targeted protein', or 'antibody'"""	"# enter an identifier for any associated genes e.g. ensembl identifier for targeted protein"	"# enter gene symbol for any associated genes e.g. BRCA7"	"# any comments about the gene annotation e.g. what gene annotation build the gene identifiers come from"	"DISCEPTS"	"B4_C2.tif"	"/Blastocysts/B4_C2.tif"	"# any comments about image files (can say its missing if you no longer have it)"	"Derived (cropped image)"	"LaminB1 / Dapi"	"# data analysis protocol"	"# name of the file with the results in"
"B4_C3.tif"	"Mus Musculus"	"00000251"	"# leave blank"	"Wild-type, outbred MF1 mice"	"EFO"	"# leave blank"	"growth protocol"	"treatment protocol"	"image acquisition and feature extraction protocol"	"blastocysts"	"# add an experimental condition if there is one e.g. 'targeted protein', or 'antibody'"""	"# enter an identifier for any associated genes e.g. ensembl identifier for targeted protein"	"# enter gene symbol for any associated genes e.g. BRCA8"	"# any comments about the gene annotation e.g. what gene annotation build the gene identifiers come from"	"DISCEPTS"	"B4_C3.tif"	"/Blastocysts/B4_C3.tif"	"# any comments about image files (can say its missing if you no longer have it)"	"Derived (cropped image)"	"LaminB1 / Dapi"	"# data analysis protocol"	"# name of the file with the results in"
"B5_C1.tif"	"Mus Musculus"	"00000251"	"# leave blank"	"Wild-type, outbred MF1 mice"	"EFO"	"# leave blank"	"growth protocol"	"treatment protocol"	"image acquisition and feature extraction protocol"	"blastocysts"	"# add an experimental condition if there is one e.g. 'targeted protein', or 'antibody'"""	"# enter an identifier for any associated genes e.g. ensembl identifier for targeted protein"	"# enter gene symbol for any associated genes e.g. BRCA9"	"# any comments about the gene annotation e.g. what gene annotation build the gene identifiers come from"	"DISCEPTS"	"B5_C1.tif"	"/Blastocysts/B5_C1.tif"	"# any comments about image files (can say its missing if you no longer have it)"	"Derived (cropped image)"	"LaminB1 / Dapi"	"# data analysis protocol"	"# name of the file with the results in"
"B5_C2.tif"	"Mus Musculus"	"00000251"	"# leave blank"	"Wild-type, outbred MF1 mice"	"EFO"	"# leave blank"	"growth protocol"	"treatment protocol"	"image acquisition and feature extraction protocol"	"blastocysts"	"# add an experimental condition if there is one e.g. 'targeted protein', or 'antibody'"""	"# enter an identifier for any associated genes e.g. ensembl identifier for targeted protein"	"# enter gene symbol for any associated genes e.g. BRCA10"	"# any comments about the gene annotation e.g. what gene annotation build the gene identifiers come from"	"DISCEPTS"	"B5_C2.tif"	"/Blastocysts/B5_C2.tif"	"# any comments about image files (can say its missing if you no longer have it)"	"Derived (cropped image)"	"LaminB1 / Dapi"	"# data analysis protocol"	"# name of the file with the results in"
