"Source Name"	"Assay Name"	"Dataset Name"	"Image File"	"Comment [Image File Path]"	"Comment [Image File Comments]"	"Segmented Image"	"Segmented Channel"	"Segmentation Method"
"B1_C1_Manual.tif"	"blastocysts"	"DISCEPTS"	"B1_C1_Manual.tif"	"/Blastocysts/B1_C1_Manual.tif"	"# any comments about image files (can say its missing if you no longer have it)"	"B1_C1.tif"	"LaminB1"	"Manual (Nessys Editor)"
"B1_C2_Manual.tif"	"blastocysts"	"DISCEPTS"	"B1_C2_Manual.tif"	"/Blastocysts/B1_C2_Manual.tif"	"# any comments about image files (can say its missing if you no longer have it)"	"B1_C2.tif"	"LaminB1"	"Manual (Nessys Editor)"
"B2_C1_Manual.tif"	"blastocysts"	"DISCEPTS"	"B2_C1_Manual.tif"	"/Blastocysts/B2_C1_Manual.tif"	"# any comments about image files (can say its missing if you no longer have it)"	"B2_C1.tif"	"LaminB1"	"Manual (Nessys Editor)"
"B2_C2_Manual.tif"	"blastocysts"	"DISCEPTS"	"B2_C2_Manual.tif"	"/Blastocysts/B2_C2_Manual.tif"	"# any comments about image files (can say its missing if you no longer have it)"	"B2_C2.tif"	"LaminB1"	"Manual (Nessys Editor)"
"B3_Manual.tif"	"blastocysts"	"DISCEPTS"	"B3_Manual.tif"	"/Blastocysts/B3_Manual.tif"	"# any comments about image files (can say its missing if you no longer have it)"	"B3.tif"	"LaminB1"	"Manual (Nessys Editor)"
"B4_C1_Manual.tif"	"blastocysts"	"DISCEPTS"	"B4_C1_Manual.tif"	"/Blastocysts/B4_C1_Manual.tif"	"# any comments about image files (can say its missing if you no longer have it)"	"B4_C1.tif"	"LaminB1"	"Manual (Nessys Editor)"
"B4_C2_Manual.tif"	"blastocysts"	"DISCEPTS"	"B4_C2_Manual.tif"	"/Blastocysts/B4_C2_Manual.tif"	"# any comments about image files (can say its missing if you no longer have it)"	"B4_C2.tif"	"LaminB1"	"Manual (Nessys Editor)"
"B4_C3_Manual.tif"	"blastocysts"	"DISCEPTS"	"B4_C3_Manual.tif"	"/Blastocysts/B4_C3_Manual.tif"	"# any comments about image files (can say its missing if you no longer have it)"	"B4_C3.tif"	"LaminB1"	"Manual (Nessys Editor)"
"B5_C1_Manual.tif"	"blastocysts"	"DISCEPTS"	"B5_C1_Manual.tif"	"/Blastocysts/B5_C1_Manual.tif"	"# any comments about image files (can say its missing if you no longer have it)"	"B5_C1.tif"	"LaminB1"	"Manual (Nessys Editor)"
"B5_C2_Manual.tif"	"blastocysts"	"DISCEPTS"	"B5_C2_Manual.tif"	"/Blastocysts/B5_C2_Manual.tif"	"# any comments about image files (can say its missing if you no longer have it)"	"B5_C2.tif"	"LaminB1"	"Manual (Nessys Editor)"
"B5_C3_Manual.tif"	"blastocysts"	"DISCEPTS"	"B5_C3_Manual.tif"	"/Blastocysts/B5_C3_Manual.tif"	"# any comments about image files (can say its missing if you no longer have it)"	"B5_C3.tif"	"LaminB1"	"Manual (Nessys Editor)"
